id,status,title,artist,style,sources,spotifyUrls,youtubeUrls,cifraClubUrls,ultimateGuitarUrls,tags,notes
"richard-marx-right-here-waiting","toco","Right Here Waiting","Richard Marx","Pop","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/richard-marx/right-here-waiting-official-1482","repertório",""
"elton-john-rocket-man-i-think-its-going-to-be-a-long-long-time","quero aprender","Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John","Unclassified","Spotify","https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY","","","","backlog","Spotify-only entry from playlist export."
"o-rappa-rodo-cotidiano","toco","Rodo Cotidiano","O Rappa","Rock","Spotify | Cifra Club","https://open.spotify.com/track/16Q58TTMLWLx29LDlQApEm","","https://www.cifraclub.com.br/o-rappa/rodo-cotidiano/","","repertório",""
"the-police-roxanne","quero aprender","Roxanne","The Police","Unclassified","YouTube","","https://www.youtube.com/watch?v=qlqkOeeeh0k&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=21","","","aula | prática","YouTube-only inferred entry. | YouTube-only inferred from lesson title"
"technique-samba-no-violao","quero aprender","Samba no violão","Technique","Unclassified","YouTube","","https://www.youtube.com/watch?v=Agg-e99B7_g&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=25","","","aula | prática","YouTube-only inferred entry. | Technique video, kept as tutorial item"
"seu-jorge-samba-rock-do-seu-jorge","quero aprender","Samba Rock do Seu Jorge","Seu Jorge","Unclassified","YouTube","","https://www.youtube.com/watch?v=IGg-vx9SMPQ&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=3","","","aula | prática","YouTube-only inferred entry. | Ambiguous lesson, kept as tutorial item"
"eagle-eye-cherry-save-tonight","toco","Save Tonight","Eagle-Eye Cherry","Rock","Cifra Club","","","https://www.cifraclub.com.br/eagle-eye-cherry/save-tonight/","","repertório",""
"a-great-big-world-christina-aguilera-say-something","quero aprender","Say Something","A Great Big World, Christina Aguilera","Unclassified","YouTube","","https://www.youtube.com/watch?v=1jPpLhH23KA&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=29","","","aula | prática","YouTube-only inferred entry. | YouTube-only inferred from lesson title"
"musicas-infantis-se-essa-rua-fosse-minha","quero aprender","Se Essa Rua Fosse Minha","Músicas Infantis","Unclassified","YouTube","","https://www.youtube.com/watch?v=Lxc8tBjJ-6Y&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=20","","","aula | prática","YouTube-only inferred entry. | YouTube-only inferred from lesson title"
"ivete-sangalo-se-eu-nao-te-amasse-tanto-assim-acustico-em-trancoso-ao-vivo","quero aprender","Se Eu Não Te Amasse Tanto Assim - Acústico Em Trancoso / Ao Vivo","Ivete Sangalo","Axé","Spotify","https://open.spotify.com/track/5z9gmHdAMTFjxFOpuWzyYO","","","","backlog","Spotify-only entry from playlist export."
"semisonic-secret-smile","quero aprender","Secret Smile","Semisonic","Pop","Spotify","https://open.spotify.com/track/1OhctVvuAU8kVCtzDWsCTj","","","","backlog","Spotify-only entry from playlist export."
"lady-gaga-shallow","toco","Shallow","Lady Gaga","Pop","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/lady-gaga/shallow-official-2488832","repertório",""
"passenger-simple-song","toco","Simple Song","Passenger","Folk","Cifra Club","","","https://www.cifraclub.com.br/passenger/simple-song/","","repertório",""
"jack-johnson-sitting-waiting-wishing","toco","Sitting Waiting Wishing","Jack Johnson","Folk","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/jack-johnson/sitting-waiting-wishing-official-1483","repertório",""
"charlie-brown-jr-so-os-loucos-sabem","toco","Só Os Loucos Sabem","Charlie Brown Jr.","Rock","Cifra Club","","","https://www.cifraclub.com.br/charlie-brown-jr/so-os-loucos-sabem/","","repertório",""
"leoni-so-pro-meu-prazer","quero aprender","Só Pro Meu Prazer","Leoni","Unclassified","Spotify","https://open.spotify.com/track/6uVnCe5jUqNGeff7VFk9Uy","","","","backlog","Spotify-only entry from playlist export."
"eddie-vedder-society","toco","Society","Eddie Vedder","Folk","Spotify | YouTube | Ultimate Guitar","https://open.spotify.com/track/3bHhUEOTIbezeZ856R0BX5","https://www.youtube.com/watch?v=FZl-Q5opEt4&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=11 | https://www.youtube.com/watch?v=ZQADtccW2wE&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=12","","https://tabs.ultimate-guitar.com/tab/eddie-vedder/society-official-992186","repertório",""
"adele-someone-like-you","toco","Someone Like You","Adele","Pop","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1036262","repertório",""
"israel-kamakawiwoole-somewhere-over-the-rainbow","toco","Somewhere Over The Rainbow","Israel Kamakawiwo'ole","Folk","Cifra Club","","","https://www.cifraclub.com.br/israel-kamakawiwoole/somewhere-over-the-rainbow/","","repertório",""
"engenheiros-do-hawaii-somos-quem-podemos-ser-ao-vivo","quero aprender","Somos Quem Podemos Ser - Ao Vivo","Engenheiros Do Hawaii","Rock","Spotify","https://open.spotify.com/track/05ysSyVvvSMqS6gxUPBOco","","","","backlog","Spotify-only entry from playlist export."
"natiruts-sorri-sou-rei","toco","Sorri, Sou Rei","Natiruts","Reggae","Cifra Club","","","https://www.cifraclub.com.br/natiruts/sorri-sou-rei/","","repertório",""
"led-zeppelin-stairway-to-heaven","toco","Stairway To Heaven","Led Zeppelin","Rock","Spotify | YouTube | Ultimate Guitar","https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc","https://www.youtube.com/watch?v=BjjO9ZbyOtU&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=8","","https://tabs.ultimate-guitar.com/tab/led-zeppelin/stairway-to-heaven-official-14938","repertório",""
"the-beatles-stand-by-me","toco","Stand By Me","The Beatles","Rock","Cifra Club","","","https://www.cifraclub.com.br/the-beatles/stand-by-me/","","repertório",""
"renato-russo-strani-amori","quero aprender","Strani Amori","Renato Russo","Unclassified","Spotify","https://open.spotify.com/track/31GNpPGlEuQxt88tyWRnhe","","","","backlog","Spotify-only entry from playlist export."
"vitor-kley-sua-falta","quero aprender","Sua Falta","Vitor Kley","Pop","Spotify","https://open.spotify.com/track/5Eqqwfl4UMSnsz2uHZqvLQ","","","","backlog","Spotify-only entry from playlist export."
"johann-sebastian-bach-slava-grigoryan-suite-for-cello-solo-no-1-in-g-major-bwv-1007-arr-for-baritone-guitar-1-prelude","quero aprender","Suite For Cello Solo No.1 In G Major, BWV 1007 (arr. for Baritone Guitar): 1. Prélude","Johann Sebastian Bach, Slava Grigoryan","Unclassified","Spotify","https://open.spotify.com/track/2HMqLAD46S0Cq97ZTXwApv","","","","backlog","Spotify-only entry from playlist export."
"dire-straits-sultans-of-swing","toco","Sultans Of Swing","Dire Straits","Rock","Spotify | Ultimate Guitar","https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj","","","https://tabs.ultimate-guitar.com/tab/dire-straits/sultans-of-swing-official-1488","repertório",""
"norah-jones-sunrise","quero aprender","Sunrise","Norah Jones","Pop","Spotify","https://open.spotify.com/track/7zkLpY72g6lKQbiHDqri1S","","","","backlog","Spotify-only entry from playlist export."
"daniela-mercury-swing-da-cor","quero aprender","Swing da Cor","Daniela Mercury","Axé","Spotify","https://open.spotify.com/track/4QvN1r5iloT7eKvx6mjNdq","","","","backlog","Spotify-only entry from playlist export."
"zeca-baleiro-telegrama","toco","Telegrama","Zeca Baleiro","MPB","Spotify | Cifra Club","https://open.spotify.com/track/7xpDGoUGbtaquk5xMvzwTh","","https://www.cifraclub.com.br/zeca-baleiro/telegrama/","","repertório",""
"legiao-urbana-tempo-perdido","toco","Tempo Perdido","Legião Urbana","Rock","Spotify | Cifra Club","https://open.spotify.com/track/7MnT7msJZg3XBAS0OTfGrB","","https://www.cifraclub.com.br/legiao-urbana/tempo-perdido/","","repertório",""
"supertramp-the-logical-song-remastered-2010","quero aprender","The Logical Song - Remastered 2010","Supertramp","Rock","Spotify","https://open.spotify.com/track/6mHOcVtsHLMuesJkswc0GZ","","","","backlog","Spotify-only entry from playlist export."
"disturbed-the-sound-of-silence","quero aprender","The Sound of Silence","Disturbed","Unclassified","Spotify | YouTube","https://open.spotify.com/track/1Cj2vqUwlJVG27gJrun92y","https://www.youtube.com/watch?v=ExkiaabrhHM&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=14","","","aula | prática","Spotify-only entry from playlist export."
"metallica-the-unforgiven","toco","The Unforgiven","Metallica","Metal","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-official-378","repertório",""
"hans-zimmer-time","quero aprender","Time","Hans Zimmer","Unclassified","YouTube","","https://www.youtube.com/watch?v=z3BHrFvqZmE&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=18","","","aula | prática","YouTube-only inferred entry. | YouTube-only inferred from lesson title"
"seu-jorge-tive-razao","toco","Tive Razão","Seu Jorge","MPB","Spotify | Cifra Club","https://open.spotify.com/track/2xaMV3NPiEHcd8tlSkGH2M","","https://www.cifraclub.com.br/seu-jorge/tive-razao/","","repertório",""
"maeana-to-sem-voce","quero aprender","Tô Sem Você","Mãeana","Unclassified","Spotify | YouTube","https://open.spotify.com/track/0RlNltpVEnGcGD8srnSHSS","https://www.youtube.com/watch?v=6I-rqA09NcY&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=30","","","aula | prática","Spotify-only entry from playlist export."
"natalie-imbruglia-torn","toco","Torn","Natalie Imbruglia","Pop","Cifra Club","","","https://www.cifraclub.com.br/natalie-imbruglia/torn/","","repertório",""
"ana-vilela-trem-bala","toco","Trem-Bala","Ana Vilela","Pop","Cifra Club","","","https://www.cifraclub.com.br/ana-vilela/trem-bala/","","repertório",""
